Name,fixed_cost,variable_cost,lb,ub,Lat,Lng
1,0,19.08066854,1447619.842,1769313.14,43.17125743,141.27840519999998
10242,0,19.99180527,1600000.0,6800000.0,36.34918927,139.8808205
7909381,0,19.95416115,1600000.0,6800000.0,33.64905419,130.72866770000002
6157,0,19.99180527,1600000.0,6800000.0,35.92169815,139.48627319999997
7909390,0,19.95416115,1600000.0,6800000.0,33.64039949,130.7152713
9750541,0,23.521526,1600000.0,6800000.0,35.66929843,139.93384440000003
28688,0,23.521526,1600000.0,6800000.0,35.35107197,139.3659955
22545,0,19.99180527,1600000.0,6800000.0,36.0742294,139.30969219999997
14354,0,19.99180527,1600000.0,6800000.0,37.02458685,136.9596189
13,0,21.16482023,1556241.7419999999,1902073.24,38.26476733,140.9901937
9750550,0,23.521526,1600000.0,6800000.0,35.66929843,139.93384440000003
16411,0,23.28130226,1600000.0,6800000.0,35.33096201,136.6199086
14370,0,19.99180527,1600000.0,6800000.0,36.40367651,136.4477874
18467,0,19.99180527,1600000.0,6800000.0,36.00198597,139.7162387
118818,0,23.28130226,1600000.0,6800000.0,40.80460861,140.7082259
9322531,0,23.521526,1600000.0,6800000.0,35.66541559,139.9259618
1382438,0,19.95416115,1600000.0,6800000.0,32.09828779,131.3963866
18471,0,23.521526,1600000.0,6800000.0,35.65515257,139.36961200000002
5404711,0,19.99180527,1600000.0,6800000.0,35.95183831,140.5654021
9568298,0,19.95416115,400000.0,6800000.0,26.245815999999998,127.721799
18476,0,23.521526,1600000.0,6800000.0,35.81271698,140.1352466
7634994,0,23.521526,1600000.0,6800000.0,35.69046492,140.21939819999997
53,0,21.395948999999998,4338558.442,5302682.54,35.289746,136.89844399999998
16438,0,23.28130226,1600000.0,6800000.0,35.34268031,136.6334539
8247,0,23.521526,1600000.0,6800000.0,35.48997769,139.6698215
8250,0,23.521526,1600000.0,6800000.0,35.48997769,139.6698215
7839804,0,19.99180527,1600000.0,6800000.0,35.85641298,139.667991
14397,0,19.99180527,1600000.0,6800000.0,36.39875375,136.46112
8254,0,23.9740829,1600000.0,6800000.0,34.73266541,135.61130740000002
6946879,0,23.521526,1600000.0,6800000.0,35.79597286,139.805525
9490493,0,23.9740829,1600000.0,6800000.0,34.76592213,135.65189919999997
6225985,0,19.95416115,1600000.0,6800000.0,32.76064965,129.8111765
7635010,0,23.521526,1600000.0,6800000.0,35.82088997,140.0673665
9631810,0,23.28130226,1600000.0,6800000.0,37.48351159,140.3749984
9216073,0,23.28130226,1600000.0,6800000.0,35.22886941,136.73823190000002
22606,0,23.9740829,1600000.0,6800000.0,34.63821287,135.4798464
7811152,0,23.521526,1600000.0,6800000.0,35.65690756,139.7982533
9193553,0,19.95416115,1600000.0,6800000.0,33.40754979,130.5135294
81,0,18.1401465,3167712.442,3871648.54,33.62845918,130.48126240000002
83,0,125.10820530000001,395164.3422,482978.6405,26.24421438,127.6762321
30805,0,19.95416115,1600000.0,6800000.0,31.51056146,130.525757
22616,0,23.9740829,1600000.0,6800000.0,34.78653148,135.5978933
12377,0,23.28130226,1600000.0,6800000.0,34.60527131,133.94958590000002
14427,0,19.99180527,1600000.0,6800000.0,36.40048945,136.4598034
6237,0,23.521526,1600000.0,6800000.0,35.38051224,139.36652769999998
30813,0,19.95416115,1600000.0,6800000.0,31.52432418,130.5385943
10339,0,23.521526,1600000.0,6800000.0,35.59055781,139.3621514
9111654,0,23.28130226,1600000.0,6800000.0,34.82357096,138.2427132
7915624,0,23.521526,1600000.0,6800000.0,35.683035,140.024365
14443,0,19.99180527,1600000.0,6800000.0,36.34448336,136.4413398
9812075,0,23.9740829,1600000.0,6800000.0,34.80545411,135.071889
107,0,21.38320545,3407503.042,4164725.94,35.49513269,139.4280908
9347186,0,23.28130226,1600000.0,6800000.0,34.75102486,137.89284019999997
14451,0,19.99180527,1600000.0,6800000.0,36.39544231,136.4497014
24694,0,19.95416115,1600000.0,6800000.0,35.45504936,133.3316297
28797,0,19.95416115,1600000.0,6800000.0,33.57922198,130.31491090000003
1046659,0,19.95416115,1600000.0,6800000.0,33.4276138,130.0004533
7659652,0,23.28130226,1600000.0,6800000.0,35.25650027,136.9336092
132,0,18.17436843,4918575.142,6011591.84,36.12369175,139.6648969
9101446,0,19.99180527,1600000.0,6800000.0,35.84957601,139.469919
9812105,0,23.9740829,1600000.0,6800000.0,34.80545411,135.071889
2186,0,23.28130226,1600000.0,6800000.0,39.18085155,141.11503019999998
7178379,0,20.9887354,1600000.0,6800000.0,43.03755628,141.45438810000002
9154698,0,19.95416115,400000.0,6800000.0,26.24393698,127.6892922
7522452,0,23.521526,1600000.0,6800000.0,35.81008736,139.91220780000003
20630,0,23.9740829,1600000.0,6800000.0,35.55173018,135.2152176
1167510,0,19.99180527,1600000.0,6800000.0,35.977382500000004,139.5932138
2200,0,23.28130226,1600000.0,6800000.0,40.54857748,141.42879219999998
2201,0,23.28130226,1600000.0,6800000.0,40.76244138,140.7492746
9216154,0,23.28130226,1600000.0,6800000.0,35.31090095,136.9541049
4251,0,23.28130226,1600000.0,6800000.0,37.74744553,140.4593325
2205,0,23.28130226,1600000.0,6800000.0,38.05519485,140.6631206
18589,0,23.28130226,1600000.0,6800000.0,35.13283888,136.85366269999997
157,0,20.26314985,3961181.684,4841444.281,35.83314,140.020724
22689,0,19.99180527,1600000.0,6800000.0,35.96134464,139.98349209999998
2216,0,23.28130226,1600000.0,6800000.0,39.39434987,141.115673
7389353,0,23.521526,1600000.0,6800000.0,35.80673757,140.15859469999998
7878826,0,19.99180527,1600000.0,6800000.0,36.26795825,139.2182608
9193642,0,23.9740829,1600000.0,6800000.0,34.84640183,134.49462350000002
2224,0,23.28130226,1600000.0,6800000.0,39.37936222,141.0943118
41143,0,23.9740829,1600000.0,6800000.0,34.650403000000004,135.4727
