,name,ub
0,0,12154.619999999999
1,1,12154.619999999999
2,2,12154.619999999999
3,3,12154.619999999999
4,4,12154.619999999999
5,5,12154.619999999999
6,6,12154.619999999999
7,7,12154.619999999999
8,8,12154.619999999999
9,9,12154.619999999999
10,10,12154.619999999999
11,11,12154.619999999999
12,12,12154.619999999999
13,13,12154.619999999999
14,14,12154.619999999999
15,15,12154.619999999999
16,16,12154.619999999999
17,17,12154.619999999999
18,18,12154.619999999999
19,19,12154.619999999999
20,20,12154.619999999999
21,21,12154.619999999999
22,22,12154.619999999999
23,23,12154.619999999999
