,child,parent,units
0,Dist_0001,Manuf_0001,1
1,Dist_0001,Manuf_0004,1
2,Dist_0001,Manuf_0005,1
3,Dist_0001,Retail_0001,1
4,Dist_0002,Manuf_0002,1
5,Dist_0002,Manuf_0004,1
6,Dist_0002,Manuf_0005,1
7,Dist_0002,Manuf_0006,1
8,Dist_0002,Retail_0002,1
9,Dist_0002,Retail_0005,1
10,Dist_0002,Retail_0006,1
11,Dist_0002,Retail_0007,1
12,Dist_0002,Retail_0008,1
13,Dist_0003,Manuf_0003,1
14,Dist_0003,Manuf_0004,1
15,Dist_0003,Manuf_0005,1
16,Dist_0003,Retail_0003,1
17,Dist_0003,Retail_0004,1
18,Dist_0003,Retail_0009,1
19,Dist_0003,Retail_0010,1
20,Dist_0003,Retail_0011,1
21,Dist_0004,Manuf_0004,1
22,Dist_0004,Manuf_0005,1
23,Dist_0004,Manuf_0007,1
24,Dist_0004,Retail_0012,1
25,Dist_0004,Retail_0013,1
26,Dist_0004,Retail_0014,1
27,Dist_0004,Retail_0015,1
28,Dist_0004,Retail_0016,1
29,Dist_0005,Manuf_0004,1
30,Dist_0005,Manuf_0005,1
31,Dist_0005,Manuf_0008,1
32,Dist_0005,Manuf_0009,1
33,Dist_0005,Retail_0017,1
34,Dist_0005,Retail_0018,1
35,Dist_0005,Retail_0019,1
36,Dist_0005,Retail_0020,1
37,Dist_0005,Retail_0021,1
38,Manuf_0001,Retail_0022,1
39,Manuf_0001,Trans_0001,1
40,Manuf_0001,Trans_0002,1
41,Manuf_0001,Trans_0003,1
42,Manuf_0001,Trans_0004,1
43,Manuf_0002,Retail_0023,1
44,Manuf_0002,Trans_0005,1
45,Manuf_0002,Trans_0006,1
46,Manuf_0002,Trans_0007,1
47,Manuf_0002,Trans_0008,1
48,Manuf_0003,Retail_0024,1
49,Manuf_0003,Trans_0009,1
50,Manuf_0003,Trans_0010,1
51,Manuf_0003,Trans_0011,1
52,Manuf_0003,Trans_0012,1
53,Manuf_0004,Retail_0025,1
54,Manuf_0004,Trans_0013,1
55,Manuf_0004,Trans_0014,1
56,Manuf_0004,Trans_0015,1
57,Manuf_0004,Trans_0016,1
58,Manuf_0005,Retail_0026,1
59,Manuf_0005,Trans_0017,1
60,Manuf_0005,Trans_0018,1
61,Manuf_0005,Trans_0019,1
62,Manuf_0005,Trans_0020,1
63,Manuf_0006,Retail_0027,1
64,Manuf_0006,Trans_0021,1
65,Manuf_0006,Trans_0022,1
66,Manuf_0006,Trans_0023,1
67,Manuf_0006,Trans_0024,1
68,Manuf_0007,Retail_0028,1
69,Manuf_0007,Trans_0025,1
70,Manuf_0007,Trans_0026,1
71,Manuf_0007,Trans_0027,1
72,Manuf_0007,Trans_0028,1
73,Manuf_0008,Retail_0029,1
74,Manuf_0008,Trans_0029,1
75,Manuf_0008,Trans_0030,1
76,Manuf_0008,Trans_0031,1
77,Manuf_0008,Trans_0032,1
78,Manuf_0009,Retail_0030,1
79,Manuf_0009,Trans_0033,1
80,Manuf_0009,Trans_0034,1
81,Manuf_0009,Trans_0035,1
82,Manuf_0009,Trans_0036,1
83,Trans_0001,Retail_0031,1
84,Trans_0002,Retail_0032,1
85,Trans_0003,Retail_0033,1
86,Trans_0004,Retail_0034,1
87,Trans_0005,Retail_0035,1
88,Trans_0006,Retail_0036,1
89,Trans_0007,Retail_0037,1
90,Trans_0008,Retail_0038,1
91,Trans_0009,Retail_0039,1
92,Trans_0010,Retail_0040,1
93,Trans_0011,Retail_0041,1
94,Trans_0012,Retail_0042,1
95,Trans_0013,Retail_0043,1
96,Trans_0014,Retail_0044,1
97,Trans_0015,Retail_0045,1
98,Trans_0016,Retail_0046,1
99,Trans_0017,Retail_0047,1
100,Trans_0018,Retail_0048,1
101,Trans_0019,Retail_0049,1
102,Trans_0020,Retail_0050,1
103,Trans_0021,Retail_0051,1
104,Trans_0022,Retail_0052,1
105,Trans_0023,Retail_0053,1
106,Trans_0024,Retail_0054,1
107,Trans_0025,Retail_0055,1
108,Trans_0026,Retail_0056,1
109,Trans_0027,Retail_0057,1
110,Trans_0028,Retail_0058,1
111,Trans_0029,Retail_0059,1
112,Trans_0030,Retail_0060,1
113,Trans_0031,Retail_0061,1
114,Trans_0032,Retail_0062,1
115,Trans_0033,Retail_0063,1
116,Trans_0034,Retail_0064,1
117,Trans_0035,Retail_0065,1
118,Trans_0036,Retail_0066,1
