,child,parent,units
0,Manuf_0001,Trans_0001,1
1,Manuf_0002,Trans_0002,1
2,Manuf_0003,Trans_0003,1
3,Manuf_0004,Trans_0004,1
4,Manuf_0005,Trans_0005,1
5,Manuf_0006,Trans_0006,1
6,Manuf_0007,Dist_0001,1
7,Manuf_0007,Dist_0002,1
8,Manuf_0007,Dist_0003,1
9,Manuf_0008,Dist_0004,1
10,Manuf_0008,Dist_0005,1
11,Manuf_0008,Dist_0006,1
12,Manuf_0009,Dist_0007,1
13,Manuf_0009,Dist_0008,1
14,Manuf_0009,Dist_0009,1
15,Manuf_0010,Dist_0010,1
16,Manuf_0010,Dist_0011,1
17,Manuf_0010,Dist_0012,1
18,Trans_0001,Manuf_0007,1
19,Trans_0001,Manuf_0009,1
20,Trans_0001,Manuf_0010,1
21,Trans_0002,Manuf_0007,1
22,Trans_0002,Manuf_0008,1
23,Trans_0003,Manuf_0008,1
24,Trans_0004,Manuf_0009,1
25,Trans_0005,Manuf_0009,1
26,Trans_0005,Manuf_0010,1
27,Trans_0006,Manuf_0010,1
