,child,parent,units
0,Dist_0001,Retail_0001,1
1,Dist_0001,Trans_0001,1
2,Dist_0001,Trans_0002,1
3,Dist_0001,Trans_0003,1
4,Dist_0001,Trans_0004,1
5,Dist_0002,Retail_0002,1
6,Dist_0002,Trans_0005,1
7,Dist_0002,Trans_0006,1
8,Dist_0002,Trans_0007,1
9,Dist_0002,Trans_0008,1
10,Dist_0002,Trans_0009,1
11,Dist_0003,Retail_0003,1
12,Dist_0003,Trans_0010,1
13,Dist_0003,Trans_0011,1
14,Dist_0003,Trans_0012,1
15,Dist_0003,Trans_0013,1
16,Dist_0003,Trans_0014,1
17,Dist_0003,Trans_0015,1
18,Dist_0003,Trans_0016,1
19,Dist_0004,Retail_0004,1
20,Dist_0004,Trans_0017,1
21,Dist_0004,Trans_0018,1
22,Dist_0004,Trans_0019,1
23,Dist_0004,Trans_0020,1
24,Dist_0004,Trans_0021,1
25,Dist_0004,Trans_0022,1
26,Dist_0004,Trans_0023,1
27,Dist_0005,Retail_0005,1
28,Dist_0005,Trans_0024,1
29,Dist_0005,Trans_0025,1
30,Dist_0005,Trans_0026,1
31,Dist_0005,Trans_0027,1
32,Dist_0005,Trans_0028,1
33,Dist_0005,Trans_0029,1
34,Dist_0005,Trans_0030,1
35,Dist_0006,Retail_0006,1
36,Dist_0006,Trans_0031,1
37,Dist_0006,Trans_0032,1
38,Dist_0006,Trans_0033,1
39,Dist_0006,Trans_0034,1
40,Dist_0006,Trans_0035,1
41,Dist_0006,Trans_0036,1
42,Dist_0006,Trans_0037,1
43,Dist_0007,Retail_0007,1
44,Dist_0007,Trans_0038,1
45,Dist_0007,Trans_0039,1
46,Dist_0007,Trans_0040,1
47,Dist_0007,Trans_0041,1
48,Dist_0007,Trans_0042,1
49,Dist_0008,Retail_0008,1
50,Dist_0008,Trans_0043,1
51,Dist_0008,Trans_0044,1
52,Dist_0008,Trans_0045,1
53,Dist_0008,Trans_0046,1
54,Dist_0008,Trans_0047,1
55,Dist_0008,Trans_0048,1
56,Dist_0008,Trans_0049,1
57,Dist_0008,Trans_0050,1
58,Dist_0009,Retail_0009,1
59,Dist_0009,Trans_0051,1
60,Dist_0009,Trans_0052,1
61,Dist_0009,Trans_0053,1
62,Dist_0009,Trans_0054,1
63,Dist_0009,Trans_0055,1
64,Dist_0009,Trans_0056,1
65,Dist_0009,Trans_0057,1
66,Dist_0009,Trans_0058,1
67,Dist_0010,Retail_0010,1
68,Dist_0010,Trans_0059,1
69,Dist_0010,Trans_0060,1
70,Dist_0010,Trans_0061,1
71,Dist_0010,Trans_0062,1
72,Dist_0010,Trans_0063,1
73,Dist_0010,Trans_0064,1
74,Dist_0010,Trans_0065,1
75,Dist_0011,Retail_0011,1
76,Dist_0011,Trans_0066,1
77,Dist_0011,Trans_0067,1
78,Dist_0011,Trans_0068,1
79,Dist_0011,Trans_0069,1
80,Dist_0011,Trans_0070,1
81,Dist_0011,Trans_0071,1
82,Dist_0011,Trans_0072,1
83,Dist_0011,Trans_0073,1
84,Dist_0012,Retail_0012,1
85,Dist_0012,Trans_0074,1
86,Dist_0012,Trans_0075,1
87,Dist_0012,Trans_0076,1
88,Dist_0012,Trans_0077,1
89,Dist_0012,Trans_0078,1
