,from_node,to_node,kind
0,3,0,plnt-plnt
1,3,1,plnt-plnt
2,4,1,plnt-plnt
3,4,2,plnt-plnt
4,5,0,plnt-plnt
5,5,2,plnt-plnt
6,6,3,plnt-plnt
7,7,3,plnt-plnt
8,7,4,plnt-plnt
9,8,4,plnt-plnt
10,8,5,plnt-plnt
11,9,6,plnt-plnt
12,10,7,plnt-plnt
13,11,7,plnt-plnt
14,11,8,plnt-plnt
15,12,9,plnt-plnt
16,12,10,plnt-plnt
17,13,9,plnt-plnt
18,13,10,plnt-plnt
19,13,11,plnt-plnt
20,14,11,plnt-plnt
21,15,12,plnt-plnt
22,15,14,plnt-plnt
23,16,12,plnt-plnt
24,16,13,plnt-plnt
25,17,14,plnt-plnt
26,18,15,plnt-plnt
27,18,16,plnt-plnt
28,18,17,plnt-plnt
29,19,15,plnt-plnt
30,19,16,plnt-plnt
31,19,17,plnt-plnt
32,20,17,plnt-plnt
33,21,18,plnt-plnt
34,21,20,plnt-plnt
35,22,18,plnt-plnt
36,22,19,plnt-plnt
37,23,20,plnt-plnt
