,from_node,to_node,kind
0,3,0,plnt-plnt
1,4,1,plnt-plnt
2,4,2,plnt-plnt
3,5,2,plnt-plnt
4,6,3,plnt-plnt
5,6,4,plnt-plnt
6,7,4,plnt-plnt
7,7,5,plnt-plnt
8,8,5,plnt-plnt
9,9,6,plnt-plnt
10,10,7,plnt-plnt
11,11,7,plnt-plnt
12,11,8,plnt-plnt
13,12,9,plnt-plnt
14,12,10,plnt-plnt
15,13,9,plnt-plnt
16,13,10,plnt-plnt
17,14,9,plnt-plnt
18,14,11,plnt-plnt
19,15,12,plnt-plnt
20,15,13,plnt-plnt
21,16,12,plnt-plnt
22,16,13,plnt-plnt
23,17,12,plnt-plnt
24,17,14,plnt-plnt
25,18,15,plnt-plnt
26,19,15,plnt-plnt
27,19,16,plnt-plnt
28,20,15,plnt-plnt
29,20,16,plnt-plnt
30,20,17,plnt-plnt
