,child,parent,units
0,Manuf_0001,Trans_0001,1
1,Manuf_0002,Dist_0001,1
2,Manuf_0002,Dist_0002,1
3,Manuf_0002,Dist_0003,1
4,Manuf_0003,Dist_0004,1
5,Manuf_0003,Dist_0005,1
6,Manuf_0003,Dist_0006,1
7,Manuf_0004,Dist_0007,1
8,Manuf_0004,Dist_0008,1
9,Manuf_0004,Dist_0009,1
10,Manuf_0005,Dist_0010,1
11,Manuf_0005,Dist_0011,1
12,Manuf_0005,Dist_0012,1
13,Manuf_0006,Dist_0013,1
14,Manuf_0006,Dist_0014,1
15,Manuf_0006,Dist_0015,1
16,Manuf_0007,Dist_0016,1
17,Manuf_0007,Dist_0017,1
18,Manuf_0007,Dist_0018,1
19,Manuf_0008,Dist_0019,1
20,Manuf_0008,Dist_0020,1
21,Manuf_0008,Dist_0021,1
22,Manuf_0009,Dist_0022,1
23,Manuf_0009,Dist_0023,1
24,Manuf_0009,Dist_0024,1
25,Manuf_0010,Dist_0025,1
26,Manuf_0010,Dist_0026,1
27,Manuf_0010,Dist_0027,1
28,Manuf_0011,Dist_0028,1
29,Manuf_0011,Dist_0029,1
30,Manuf_0011,Dist_0030,1
31,Manuf_0012,Dist_0031,1
32,Manuf_0012,Dist_0032,1
33,Manuf_0012,Dist_0033,1
34,Manuf_0013,Dist_0034,1
35,Manuf_0013,Dist_0035,1
36,Manuf_0013,Dist_0036,1
37,Manuf_0014,Dist_0037,1
38,Manuf_0014,Dist_0038,1
39,Manuf_0014,Dist_0039,1
40,Manuf_0015,Dist_0040,1
41,Manuf_0015,Dist_0041,1
42,Manuf_0015,Dist_0042,1
43,Manuf_0016,Dist_0043,1
44,Manuf_0016,Dist_0044,1
45,Manuf_0016,Dist_0045,1
46,Manuf_0017,Dist_0046,1
47,Manuf_0017,Dist_0047,1
48,Manuf_0017,Dist_0048,1
49,Manuf_0018,Dist_0049,1
50,Manuf_0018,Dist_0050,1
51,Manuf_0018,Dist_0051,1
52,Manuf_0019,Dist_0052,1
53,Manuf_0019,Dist_0053,1
54,Manuf_0019,Dist_0054,1
55,Manuf_0020,Dist_0055,1
56,Manuf_0020,Dist_0056,1
57,Manuf_0020,Dist_0057,1
58,Manuf_0021,Dist_0058,1
59,Manuf_0021,Dist_0059,1
60,Manuf_0021,Dist_0060,1
61,Manuf_0022,Dist_0061,1
62,Manuf_0022,Dist_0062,1
63,Manuf_0022,Dist_0063,1
64,Manuf_0023,Dist_0064,1
65,Manuf_0023,Dist_0065,1
66,Manuf_0023,Dist_0066,1
67,Manuf_0024,Dist_0067,1
68,Manuf_0024,Dist_0068,1
69,Manuf_0024,Dist_0069,1
70,Manuf_0025,Dist_0070,1
71,Manuf_0025,Dist_0071,1
72,Manuf_0025,Dist_0072,1
73,Manuf_0026,Dist_0073,1
74,Manuf_0026,Dist_0074,1
75,Manuf_0026,Dist_0075,1
76,Manuf_0027,Dist_0076,1
77,Manuf_0027,Dist_0077,1
78,Manuf_0027,Dist_0078,1
79,Manuf_0028,Dist_0079,1
80,Manuf_0028,Dist_0080,1
81,Manuf_0028,Dist_0081,1
82,Manuf_0029,Dist_0082,1
83,Manuf_0029,Dist_0083,1
84,Manuf_0029,Dist_0084,1
85,Manuf_0030,Dist_0085,1
86,Manuf_0030,Dist_0086,1
87,Manuf_0030,Dist_0087,1
88,Manuf_0031,Dist_0088,1
89,Manuf_0031,Dist_0089,1
90,Manuf_0031,Dist_0090,1
91,Manuf_0032,Dist_0091,1
92,Manuf_0032,Dist_0092,1
93,Manuf_0032,Dist_0093,1
94,Part_0001,Manuf_0001,1
95,Part_0002,Manuf_0001,1
96,Part_0003,Manuf_0001,1
97,Part_0004,Manuf_0001,1
98,Part_0005,Manuf_0001,1
99,Part_0005,Retail_0001,1
100,Part_0006,Manuf_0001,1
101,Part_0007,Manuf_0001,1
102,Part_0008,Manuf_0001,1
103,Part_0009,Manuf_0001,1
104,Part_0009,Retail_0002,1
105,Part_0010,Manuf_0001,1
106,Part_0010,Retail_0003,1
107,Part_0011,Manuf_0002,1
108,Part_0012,Manuf_0002,1
109,Part_0013,Manuf_0002,1
110,Part_0014,Manuf_0002,1
111,Part_0015,Manuf_0002,1
