,child,parent,units
0,Dist_0001,Retail_0001,1
1,Dist_0002,Retail_0002,1
2,Dist_0003,Retail_0003,1
3,Dist_0004,Retail_0004,1
4,Dist_0005,Retail_0005,1
5,Dist_0006,Retail_0006,1
6,Dist_0007,Retail_0007,1
7,Dist_0008,Retail_0008,1
8,Dist_0009,Retail_0009,1
9,Dist_0010,Retail_0010,1
10,Dist_0011,Retail_0011,1
11,Dist_0012,Retail_0012,1
12,Manuf_0001,Manuf_0014,1
13,Manuf_0002,Manuf_0014,1
14,Manuf_0003,Manuf_0025,1
15,Manuf_0004,Manuf_0027,1
16,Manuf_0004,Manuf_0034,1
17,Manuf_0005,Manuf_0032,1
18,Manuf_0005,Manuf_0034,1
19,Manuf_0006,Manuf_0032,1
20,Manuf_0006,Manuf_0034,1
21,Manuf_0007,Manuf_0034,1
22,Manuf_0008,Manuf_0034,1
23,Manuf_0009,Manuf_0036,1
24,Manuf_0009,Manuf_0038,1
25,Manuf_0010,Manuf_0036,1
26,Manuf_0010,Manuf_0038,1
27,Manuf_0011,Manuf_0034,1
28,Manuf_0012,Manuf_0038,1
29,Manuf_0013,Manuf_0038,1
30,Manuf_0014,Dist_0001,1
31,Manuf_0015,Dist_0001,1
32,Manuf_0016,Dist_0002,1
33,Manuf_0017,Dist_0002,1
34,Manuf_0018,Dist_0003,1
35,Manuf_0019,Dist_0003,1
36,Manuf_0020,Dist_0004,1
37,Manuf_0021,Dist_0004,1
38,Manuf_0022,Dist_0005,1
39,Manuf_0023,Dist_0005,1
40,Manuf_0024,Dist_0006,1
41,Manuf_0025,Dist_0006,1
42,Manuf_0026,Dist_0007,1
43,Manuf_0027,Dist_0007,1
44,Manuf_0028,Dist_0007,1
45,Manuf_0029,Dist_0008,1
46,Manuf_0030,Dist_0008,1
47,Manuf_0031,Dist_0009,1
48,Manuf_0032,Dist_0009,1
49,Manuf_0033,Dist_0010,1
50,Manuf_0034,Dist_0010,1
51,Manuf_0035,Dist_0011,1
52,Manuf_0036,Dist_0011,1
53,Manuf_0037,Dist_0012,1
54,Manuf_0038,Dist_0012,1
55,Part_0001,Manuf_0001,1
56,Part_0001,Part_0260,1
57,Part_0002,Manuf_0002,1
58,Part_0002,Part_0259,1
59,Part_0003,Manuf_0003,1
60,Part_0003,Manuf_0012,1
61,Part_0004,Manuf_0004,1
62,Part_0004,Manuf_0013,1
63,Part_0005,Manuf_0005,1
64,Part_0005,Manuf_0009,1
65,Part_0006,Manuf_0006,1
66,Part_0006,Manuf_0010,1
67,Part_0007,Manuf_0007,1
68,Part_0008,Manuf_0008,1
69,Part_0009,Manuf_0011,1
70,Part_0010,Manuf_0014,1
71,Part_0011,Manuf_0015,1
72,Part_0012,Manuf_0015,1
73,Part_0013,Manuf_0015,1
74,Part_0013,Manuf_0017,1
75,Part_0013,Manuf_0019,1
76,Part_0013,Manuf_0021,1
77,Part_0013,Manuf_0023,1
78,Part_0013,Manuf_0025,1
79,Part_0013,Manuf_0027,1
80,Part_0013,Manuf_0028,1
81,Part_0013,Manuf_0030,1
82,Part_0014,Manuf_0015,1
83,Part_0015,Manuf_0015,1
84,Part_0016,Manuf_0015,1
85,Part_0017,Manuf_0015,1
86,Part_0018,Manuf_0015,1
87,Part_0018,Manuf_0017,1
88,Part_0018,Manuf_0019,1
89,Part_0018,Manuf_0021,1
90,Part_0018,Manuf_0023,1
91,Part_0018,Manuf_0025,1
92,Part_0018,Manuf_0028,1
93,Part_0018,Manuf_0030,1
94,Part_0019,Manuf_0015,1
95,Part_0020,Manuf_0015,1
96,Part_0021,Manuf_0015,1
97,Part_0022,Manuf_0015,1
98,Part_0023,Manuf_0015,1
99,Part_0023,Manuf_0017,1
100,Part_0023,Manuf_0019,1
101,Part_0023,Manuf_0021,1
102,Part_0023,Manuf_0023,1
103,Part_0023,Manuf_0025,1
104,Part_0023,Manuf_0027,1
105,Part_0023,Manuf_0028,1
106,Part_0023,Manuf_0030,1
107,Part_0023,Manuf_0032,1
108,Part_0023,Manuf_0034,1
109,Part_0024,Manuf_0015,1
110,Part_0024,Manuf_0017,1
111,Part_0024,Manuf_0019,1
112,Part_0024,Manuf_0021,1
113,Part_0024,Manuf_0023,1
114,Part_0024,Manuf_0025,1
115,Part_0024,Manuf_0027,1
116,Part_0024,Manuf_0028,1
117,Part_0024,Manuf_0030,1
118,Part_0024,Manuf_0032,1
119,Part_0024,Manuf_0034,1
120,Part_0025,Manuf_0015,1
121,Part_0025,Manuf_0021,1
122,Part_0025,Manuf_0027,1
123,Part_0025,Manuf_0032,1
124,Part_0025,Manuf_0034,1
125,Part_0026,Manuf_0015,1
126,Part_0026,Manuf_0017,1
127,Part_0026,Manuf_0019,1
128,Part_0026,Manuf_0021,1
129,Part_0026,Manuf_0023,1
130,Part_0026,Manuf_0025,1
131,Part_0026,Manuf_0028,1
132,Part_0026,Manuf_0030,1
133,Part_0026,Manuf_0032,1
