,child,parent,units
0,Dist_0001,Manuf_0002,1
1,Dist_0001,Manuf_0003,1
2,Dist_0001,Manuf_0004,1
3,Dist_0001,Manuf_0005,1
4,Manuf_0001,Dist_0001,1
5,Manuf_0002,Retail_0001,1
6,Manuf_0002,Retail_0002,1
7,Manuf_0003,Retail_0003,1
8,Manuf_0003,Retail_0004,1
9,Manuf_0004,Retail_0005,1
10,Manuf_0004,Retail_0006,1
11,Manuf_0005,Retail_0007,1
12,Manuf_0005,Retail_0008,1
13,Part_0001,Manuf_0001,1
14,Part_0002,Manuf_0001,1
15,Part_0003,Manuf_0001,1
16,Part_0004,Manuf_0001,1
17,Part_0005,Manuf_0001,1
18,Part_0006,Manuf_0001,1
19,Part_0007,Manuf_0002,1
20,Part_0008,Manuf_0002,1
21,Part_0008,Manuf_0003,1
22,Part_0009,Manuf_0003,1
23,Part_0010,Manuf_0002,1
24,Part_0010,Manuf_0003,1
25,Part_0010,Manuf_0004,1
26,Part_0010,Manuf_0005,1
27,Part_0011,Manuf_0004,1
28,Part_0012,Manuf_0004,1
29,Part_0012,Manuf_0005,1
30,Part_0013,Manuf_0005,1
