,plnt,prod,ub,pipeline,demand
0,0,Retail_0003,20603.0,41206.0,3750.0
1,0,Retail_0005,20603.0,105075.29999999999,435.0
2,1,Retail_0002,20603.0,61809.0,482.0
3,1,Retail_0003,20603.0,41206.0,3750.0
4,2,Retail_0001,20603.0,105075.29999999999,353.0
5,2,Retail_0002,20603.0,61809.0,482.0
6,2,Retail_0004,20603.0,61809.0,4637.0
7,2,Retail_0006,20603.0,105075.29999999999,367.0
8,2,Retail_0007,20603.0,84472.29999999999,2793.0
9,2,Retail_0008,20603.0,61809.0,3554.0
10,3,Manuf_0003,20603.0,42236.149999999994,
11,3,Manuf_0005,20603.0,42236.149999999994,
12,4,Manuf_0002,20603.0,42236.149999999994,
13,4,Manuf_0005,20603.0,42236.149999999994,
14,5,Manuf_0002,20603.0,42236.149999999994,
15,5,Manuf_0003,20603.0,42236.149999999994,
16,5,Manuf_0004,20603.0,42236.149999999994,
17,6,Dist_0001,20603.0,20603.0,
18,6,Part_0012,20603.0,828240.6000000001,
19,7,Part_0009,20603.0,206030.0,
20,7,Part_0012,20603.0,828240.6000000001,
21,8,Dist_0001,20603.0,20603.0,
22,8,Part_0007,20603.0,242085.25,
23,8,Part_0008,20603.0,721105.0,
24,8,Part_0010,20603.0,741708.0,
25,8,Part_0011,20603.0,206030.0,
26,8,Part_0013,20603.0,206030.0,
27,9,Manuf_0001,20603.0,20603.0,
28,10,Manuf_0001,20603.0,20603.0,
29,11,Manuf_0001,20603.0,20603.0,
30,12,Part_0001,20603.0,782914.0,
31,12,Part_0005,20603.0,695351.25,
32,13,Part_0001,20603.0,782914.0,
33,13,Part_0003,20603.0,288442.0,
34,14,Part_0001,20603.0,782914.0,
35,14,Part_0002,20603.0,711833.6499999999,
36,14,Part_0004,20603.0,695351.25,
37,14,Part_0006,20603.0,247236.0,
