,plnt,prod,ub,pipeline,demand
0,0,Retail_0002,22700.0,113500.0,2000.0
1,0,Retail_0003,22700.0,113500.0,8000.0
2,1,Retail_0001,22700.0,113500.0,4000.0
3,1,Retail_0002,22700.0,113500.0,2000.0
4,2,Retail_0001,22700.0,113500.0,4000.0
5,2,Retail_0002,22700.0,113500.0,2000.0
6,2,Retail_0004,22700.0,113500.0,700.0
7,3,Manuf_0003,22700.0,317800.0,
8,3,Manuf_0005,22700.0,317800.0,
9,4,Manuf_0002,22700.0,317800.0,
10,4,Manuf_0005,22700.0,317800.0,
11,5,Manuf_0002,22700.0,317800.0,
12,5,Manuf_0003,22700.0,317800.0,
13,5,Manuf_0004,22700.0,317800.0,
14,6,Trans_0001,22700.0,340500.0,
15,6,Trans_0002,22700.0,340500.0,
16,7,Trans_0003,22700.0,340500.0,
17,7,Trans_0004,22700.0,340500.0,
18,8,Trans_0001,22700.0,340500.0,
19,8,Trans_0003,22700.0,340500.0,
20,9,Manuf_0001,22700.0,681000.0,
21,10,Manuf_0001,22700.0,681000.0,
22,11,Manuf_0001,22700.0,681000.0,
