,name,ub
0,0,299.34000000000003
1,1,299.34000000000003
2,2,299.34000000000003
3,3,299.34000000000003
4,4,299.34000000000003
5,5,299.34000000000003
6,6,299.34000000000003
7,7,299.34000000000003
8,8,299.34000000000003
9,9,299.34000000000003
10,10,299.34000000000003
11,11,299.34000000000003
12,12,299.34000000000003
13,13,299.34000000000003
14,14,299.34000000000003
15,15,299.34000000000003
16,16,299.34000000000003
17,17,299.34000000000003
18,18,299.34000000000003
19,19,299.34000000000003
20,20,299.34000000000003
21,21,299.34000000000003
22,22,299.34000000000003
23,23,299.34000000000003
24,24,299.34000000000003
25,25,299.34000000000003
26,26,299.34000000000003
