,from_node,to_node,kind
0,3,0,plnt-plnt
1,3,1,plnt-plnt
2,3,2,plnt-plnt
3,4,1,plnt-plnt
4,5,1,plnt-plnt
5,5,2,plnt-plnt
6,6,3,plnt-plnt
7,6,4,plnt-plnt
8,7,4,plnt-plnt
9,8,3,plnt-plnt
10,8,4,plnt-plnt
11,8,5,plnt-plnt
12,9,6,plnt-plnt
13,9,7,plnt-plnt
14,9,8,plnt-plnt
15,10,7,plnt-plnt
16,11,7,plnt-plnt
17,11,8,plnt-plnt
18,12,9,plnt-plnt
19,12,10,plnt-plnt
20,13,10,plnt-plnt
21,14,11,plnt-plnt
22,15,12,plnt-plnt
23,15,13,plnt-plnt
24,16,13,plnt-plnt
25,17,12,plnt-plnt
26,17,13,plnt-plnt
27,17,14,plnt-plnt
28,18,15,plnt-plnt
29,19,15,plnt-plnt
30,19,16,plnt-plnt
31,20,17,plnt-plnt
32,21,18,plnt-plnt
33,22,19,plnt-plnt
34,23,18,plnt-plnt
35,23,19,plnt-plnt
36,23,20,plnt-plnt
37,24,21,plnt-plnt
38,25,21,plnt-plnt
39,25,22,plnt-plnt
40,26,21,plnt-plnt
41,26,22,plnt-plnt
42,26,23,plnt-plnt
43,27,24,plnt-plnt
44,27,25,plnt-plnt
45,28,25,plnt-plnt
46,29,24,plnt-plnt
47,29,25,plnt-plnt
48,29,26,plnt-plnt
