,plnt,prod,ub,pipeline,demand
0,0,Retail_0033,40000.009999999995,0.0,457.19
1,0,Retail_0047,40000.009999999995,0.0,417.71
2,1,Retail_0054,40000.009999999995,0.0,421.35
3,1,Retail_0056,40000.009999999995,0.0,432.28
4,2,Retail_0029,40000.009999999995,0.0,420.1
5,2,Retail_0030,40000.009999999995,0.0,545.52
6,2,Retail_0031,40000.009999999995,0.0,435.79
7,2,Retail_0032,40000.009999999995,0.0,597.66
8,2,Retail_0034,40000.009999999995,0.0,420.5
9,2,Retail_0035,40000.009999999995,0.0,439.6
10,2,Retail_0036,40000.009999999995,0.0,580.57
11,2,Retail_0037,40000.009999999995,0.0,1022.92
12,2,Retail_0038,40000.009999999995,0.0,415.3
13,2,Retail_0039,40000.009999999995,0.0,446.75
14,2,Retail_0040,40000.009999999995,0.0,443.76
15,2,Retail_0041,40000.009999999995,0.0,424.31
16,2,Retail_0042,40000.009999999995,0.0,434.09
17,2,Retail_0043,40000.009999999995,0.0,427.64
18,2,Retail_0044,40000.009999999995,0.0,433.93
19,2,Retail_0045,40000.009999999995,0.0,444.07
20,2,Retail_0046,40000.009999999995,0.0,447.65
21,2,Retail_0048,40000.009999999995,0.0,426.24
22,2,Retail_0049,40000.009999999995,0.0,450.41
23,2,Retail_0050,40000.009999999995,0.0,436.46
24,2,Retail_0051,40000.009999999995,0.0,413.27
25,2,Retail_0052,40000.009999999995,0.0,410.29
26,2,Retail_0053,40000.009999999995,0.0,431.97
27,2,Retail_0055,40000.009999999995,0.0,421.5
28,3,Dist_0008,40000.009999999995,240000.05999999997,
29,3,Dist_0017,40000.009999999995,160000.03999999998,
30,4,Retail_0004,40000.009999999995,0.0,1163.51
31,4,Retail_0021,40000.009999999995,0.0,962.22
32,5,Dist_0001,40000.009999999995,240000.05999999997,
33,5,Dist_0002,40000.009999999995,240000.05999999997,
34,5,Dist_0003,40000.009999999995,240000.05999999997,
35,5,Dist_0004,40000.009999999995,240000.05999999997,
36,5,Dist_0005,40000.009999999995,240000.05999999997,
37,5,Dist_0006,40000.009999999995,240000.05999999997,
38,5,Dist_0007,40000.009999999995,240000.05999999997,
39,5,Dist_0009,40000.009999999995,240000.05999999997,
40,5,Dist_0010,40000.009999999995,240000.05999999997,
41,5,Dist_0011,40000.009999999995,240000.05999999997,
42,5,Dist_0012,40000.009999999995,240000.05999999997,
43,5,Dist_0013,40000.009999999995,240000.05999999997,
44,5,Dist_0014,40000.009999999995,240000.05999999997,
45,5,Dist_0015,40000.009999999995,160000.03999999998,
46,5,Dist_0016,40000.009999999995,160000.03999999998,
47,5,Dist_0018,40000.009999999995,160000.03999999998,
48,5,Dist_0019,40000.009999999995,160000.03999999998,
49,5,Dist_0020,40000.009999999995,160000.03999999998,
50,5,Dist_0021,40000.009999999995,160000.03999999998,
51,5,Dist_0022,40000.009999999995,160000.03999999998,
52,5,Dist_0023,40000.009999999995,160000.03999999998,
53,5,Dist_0024,40000.009999999995,160000.03999999998,
54,5,Dist_0025,40000.009999999995,160000.03999999998,
55,5,Dist_0026,40000.009999999995,160000.03999999998,
56,5,Dist_0027,40000.009999999995,160000.03999999998,
57,5,Dist_0028,40000.009999999995,160000.03999999998,
58,5,Retail_0001,40000.009999999995,0.0,889.41
59,5,Retail_0002,40000.009999999995,0.0,858.93
60,5,Retail_0003,40000.009999999995,0.0,1197.12
61,5,Retail_0005,40000.009999999995,0.0,642.5
62,5,Retail_0006,40000.009999999995,0.0,807.66
63,5,Retail_0007,40000.009999999995,0.0,1268.67
64,5,Retail_0008,40000.009999999995,0.0,1007.56
65,5,Retail_0009,40000.009999999995,0.0,552.38
66,5,Retail_0010,40000.009999999995,0.0,552.86
67,5,Retail_0011,40000.009999999995,0.0,789.61
68,5,Retail_0012,40000.009999999995,0.0,690.35
69,5,Retail_0013,40000.009999999995,0.0,549.08
70,5,Retail_0014,40000.009999999995,0.0,848.28
71,5,Retail_0015,40000.009999999995,0.0,1358.44
72,5,Retail_0016,40000.009999999995,0.0,977.82
73,5,Retail_0017,40000.009999999995,0.0,2282.8
74,5,Retail_0018,40000.009999999995,0.0,974.67
75,5,Retail_0019,40000.009999999995,0.0,817.76
76,5,Retail_0020,40000.009999999995,0.0,1008.14
77,5,Retail_0022,40000.009999999995,0.0,1914.94
78,5,Retail_0023,40000.009999999995,0.0,647.35
79,5,Retail_0024,40000.009999999995,0.0,479.97
80,5,Retail_0025,40000.009999999995,0.0,992.18
81,5,Retail_0026,40000.009999999995,0.0,810.2
