,plnt,prod,ub,pipeline,demand
0,0,Dist_0507,12154.619999999999,0.0,0.0
1,0,Dist_0521,12154.619999999999,0.0,0.0
2,1,Dist_0505,12154.619999999999,0.0,0.0
3,1,Dist_0511,12154.619999999999,0.0,3.14
4,2,Dist_0503,12154.619999999999,0.0,0.0
5,2,Dist_0504,12154.619999999999,0.0,0.0
6,2,Dist_0506,12154.619999999999,0.0,0.0
7,2,Dist_0508,12154.619999999999,0.0,0.0
8,2,Dist_0509,12154.619999999999,0.0,0.0
9,2,Dist_0510,12154.619999999999,0.0,0.0
10,2,Dist_0512,12154.619999999999,0.0,1.43
11,2,Dist_0513,12154.619999999999,0.0,1.31
12,2,Dist_0514,12154.619999999999,0.0,3.14
13,2,Dist_0515,12154.619999999999,0.0,0.0
14,2,Dist_0516,12154.619999999999,0.0,0.0
15,2,Dist_0517,12154.619999999999,0.0,0.0
16,2,Dist_0518,12154.619999999999,0.0,0.0
17,2,Dist_0519,12154.619999999999,0.0,0.0
18,2,Dist_0520,12154.619999999999,0.0,0.0
19,2,Dist_0522,12154.619999999999,0.0,0.0
20,3,Trans_0282,12154.619999999999,92982.843,
21,3,Trans_0292,12154.619999999999,42662.716199999995,
22,4,Trans_0283,12154.619999999999,62110.108199999995,
23,4,Trans_0288,12154.619999999999,92982.843,
24,5,Dist_0498,12154.619999999999,0.0,3.95
25,5,Dist_0499,12154.619999999999,0.0,0.0
26,5,Dist_0500,12154.619999999999,0.0,2.09
27,5,Dist_0501,12154.619999999999,0.0,0.0
28,5,Dist_0502,12154.619999999999,0.0,0.0
29,5,Trans_0273,12154.619999999999,92982.843,
30,5,Trans_0274,12154.619999999999,42662.716199999995,
31,5,Trans_0275,12154.619999999999,35977.6752,
32,5,Trans_0276,12154.619999999999,62110.108199999995,
33,5,Trans_0277,12154.619999999999,92982.843,
34,5,Trans_0278,12154.619999999999,42662.716199999995,
35,5,Trans_0279,12154.619999999999,62110.108199999995,
36,5,Trans_0280,12154.619999999999,35977.6752,
37,5,Trans_0281,12154.619999999999,42662.716199999995,
38,5,Trans_0284,12154.619999999999,35977.6752,
39,5,Trans_0285,12154.619999999999,35977.6752,
40,5,Trans_0286,12154.619999999999,62110.108199999995,
41,5,Trans_0287,12154.619999999999,42662.716199999995,
42,5,Trans_0289,12154.619999999999,92982.843,
43,5,Trans_0290,12154.619999999999,62110.108199999995,
44,5,Trans_0291,12154.619999999999,35977.6752,
45,6,Dist_0239,12154.619999999999,0.0,5.6
46,6,Dist_0440,12154.619999999999,0.0,0.0
47,7,Dist_0205,12154.619999999999,0.0,237.82
48,7,Dist_0390,12154.619999999999,0.0,37.51
49,8,Dist_0191,12154.619999999999,0.0,0.0
50,8,Dist_0192,12154.619999999999,0.0,0.0
51,8,Dist_0193,12154.619999999999,0.0,0.0
52,8,Dist_0194,12154.619999999999,0.0,0.0
53,8,Dist_0195,12154.619999999999,0.0,0.0
54,8,Dist_0196,12154.619999999999,37679.322,2.0
55,8,Dist_0197,12154.619999999999,32209.742999999995,1.2
56,8,Dist_0198,12154.619999999999,35005.30559999999,1.6
57,8,Dist_0199,12154.619999999999,0.0,85.57
58,8,Dist_0200,12154.619999999999,0.0,67.38
59,8,Dist_0201,12154.619999999999,41933.439,2.0
60,8,Dist_0202,12154.619999999999,43148.90099999999,1.6
61,8,Dist_0203,12154.619999999999,0.0,50.72
62,8,Dist_0204,12154.619999999999,0.0,126.37
63,8,Dist_0206,12154.619999999999,37193.1372,9.2
64,8,Dist_0207,12154.619999999999,30872.7348,6.4
65,8,Dist_0208,12154.619999999999,32817.474,3.2
66,8,Dist_0209,12154.619999999999,26861.710199999998,13.2
67,8,Dist_0210,12154.619999999999,32817.474,8.0
68,8,Dist_0211,12154.619999999999,26861.710199999998,26.8
69,8,Dist_0212,12154.619999999999,30872.7348,8.8
70,8,Dist_0213,12154.619999999999,37193.1372,22.0
71,8,Dist_0214,12154.619999999999,0.0,949.38
72,8,Dist_0215,12154.619999999999,0.0,563.94
73,8,Dist_0216,12154.619999999999,35005.30559999999,3.6
74,8,Dist_0217,12154.619999999999,32209.742999999995,2.4
75,8,Dist_0218,12154.619999999999,37679.322,4.4
76,8,Dist_0219,12154.619999999999,43148.90099999999,4.4
77,8,Dist_0220,12154.619999999999,0.0,702.46
78,8,Dist_0221,12154.619999999999,41933.439,5.6
79,8,Dist_0222,12154.619999999999,0.0,297.29
80,8,Dist_0223,12154.619999999999,0.0,363.83
81,8,Dist_0224,12154.619999999999,0.0,396.51
82,8,Dist_0225,12154.619999999999,37193.1372,22.0
83,8,Dist_0226,12154.619999999999,30872.7348,3.6
84,8,Dist_0227,12154.619999999999,26861.710199999998,26.4
85,8,Dist_0228,12154.619999999999,32817.474,7.6
86,8,Dist_0229,12154.619999999999,0.0,117.2
87,8,Dist_0230,12154.619999999999,43148.90099999999,4.4
88,8,Dist_0231,12154.619999999999,41933.439,5.2
89,8,Dist_0232,12154.619999999999,0.0,233.51
90,8,Dist_0233,12154.619999999999,0.0,0.0
91,8,Dist_0234,12154.619999999999,0.0,225.38
92,8,Dist_0235,12154.619999999999,35005.30559999999,3.6
93,8,Dist_0236,12154.619999999999,32209.742999999995,2.8
94,8,Dist_0237,12154.619999999999,37679.322,4.4
95,8,Dist_0238,12154.619999999999,0.0,113.31
96,8,Dist_0240,12154.619999999999,0.0,4.8
97,8,Dist_0241,12154.619999999999,0.0,8.0
98,8,Dist_0242,12154.619999999999,0.0,2.0
99,8,Dist_0243,12154.619999999999,0.0,26.86
100,8,Dist_0244,12154.619999999999,0.0,1.2
101,8,Dist_0245,12154.619999999999,0.0,19.98
102,8,Dist_0246,12154.619999999999,0.0,1.6
103,8,Dist_0247,12154.619999999999,0.0,0.0
104,8,Dist_0248,12154.619999999999,0.0,12.94
105,8,Dist_0249,12154.619999999999,0.0,2.4
106,8,Dist_0250,12154.619999999999,0.0,0.4
107,8,Dist_0251,12154.619999999999,0.0,1.2
108,8,Dist_0252,12154.619999999999,32817.474,2.8
109,8,Dist_0253,12154.619999999999,0.0,169.12
110,8,Dist_0254,12154.619999999999,37193.1372,5.2
111,8,Dist_0255,12154.619999999999,30872.7348,4.8
112,8,Dist_0256,12154.619999999999,26861.710199999998,7.2
113,8,Dist_0257,12154.619999999999,0.0,11.78
114,8,Dist_0258,12154.619999999999,43148.90099999999,2.0
115,8,Dist_0259,12154.619999999999,0.0,57.31
116,8,Dist_0260,12154.619999999999,41933.439,3.2
117,8,Dist_0261,12154.619999999999,0.0,51.31
118,8,Dist_0262,12154.619999999999,0.0,49.92
119,8,Dist_0263,12154.619999999999,37679.322,2.0
120,8,Dist_0264,12154.619999999999,35005.30559999999,2.0
121,8,Dist_0265,12154.619999999999,32209.742999999995,1.2
122,8,Dist_0266,12154.619999999999,0.0,29.32
