,child,parent,units
0,Manuf_0001,Trans_0014,1
1,Manuf_0001,Trans_0015,1
2,Manuf_0001,Trans_0016,1
3,Manuf_0002,Trans_0017,1
4,Manuf_0002,Trans_0018,1
5,Manuf_0002,Trans_0019,1
6,Manuf_0003,Trans_0020,1
7,Manuf_0003,Trans_0021,1
8,Manuf_0003,Trans_0022,1
9,Manuf_0004,Trans_0023,1
10,Manuf_0004,Trans_0024,1
11,Manuf_0004,Trans_0025,1
12,Manuf_0005,Trans_0026,1
13,Manuf_0005,Trans_0027,1
14,Manuf_0005,Trans_0028,1
15,Manuf_0006,Trans_0029,1
16,Manuf_0006,Trans_0030,1
17,Manuf_0006,Trans_0031,1
18,Part_0001,Trans_0001,1
19,Part_0002,Trans_0002,1
20,Part_0003,Trans_0003,1
21,Part_0004,Trans_0004,1
22,Part_0005,Trans_0005,1
23,Part_0006,Trans_0006,1
24,Part_0007,Trans_0007,1
25,Part_0008,Trans_0008,1
26,Part_0009,Trans_0009,1
27,Part_0010,Trans_0010,1
28,Part_0011,Trans_0011,1
29,Part_0012,Trans_0012,1
30,Part_0013,Trans_0013,1
31,Trans_0001,Manuf_0001,1
32,Trans_0001,Manuf_0002,1
33,Trans_0001,Manuf_0003,1
34,Trans_0001,Manuf_0004,1
35,Trans_0001,Manuf_0005,1
36,Trans_0001,Manuf_0006,1
37,Trans_0002,Manuf_0001,1
38,Trans_0002,Manuf_0002,1
39,Trans_0003,Manuf_0003,1
40,Trans_0003,Manuf_0004,1
41,Trans_0004,Manuf_0005,1
42,Trans_0004,Manuf_0006,1
43,Trans_0005,Manuf_0001,1
44,Trans_0005,Manuf_0003,1
45,Trans_0005,Manuf_0005,1
46,Trans_0006,Manuf_0002,1
47,Trans_0006,Manuf_0004,1
48,Trans_0006,Manuf_0006,1
49,Trans_0007,Manuf_0001,1
50,Trans_0007,Manuf_0002,1
51,Trans_0007,Manuf_0004,1
52,Trans_0007,Manuf_0005,1
53,Trans_0007,Manuf_0006,1
54,Trans_0008,Manuf_0001,1
55,Trans_0008,Manuf_0002,1
56,Trans_0008,Manuf_0003,1
57,Trans_0008,Manuf_0004,1
58,Trans_0008,Manuf_0005,1
59,Trans_0008,Manuf_0006,1
60,Trans_0009,Manuf_0001,1
61,Trans_0009,Manuf_0002,1
62,Trans_0009,Manuf_0003,1
63,Trans_0009,Manuf_0004,1
64,Trans_0009,Manuf_0005,1
65,Trans_0009,Manuf_0006,1
66,Trans_0010,Manuf_0001,1
67,Trans_0010,Manuf_0002,1
68,Trans_0010,Manuf_0003,1
69,Trans_0010,Manuf_0004,1
70,Trans_0010,Manuf_0005,1
71,Trans_0010,Manuf_0006,1
72,Trans_0011,Manuf_0001,1
73,Trans_0011,Manuf_0002,1
74,Trans_0011,Manuf_0003,1
75,Trans_0011,Manuf_0004,1
76,Trans_0011,Manuf_0005,1
77,Trans_0011,Manuf_0006,1
78,Trans_0012,Manuf_0001,1
79,Trans_0012,Manuf_0002,1
80,Trans_0012,Manuf_0003,1
81,Trans_0012,Manuf_0004,1
82,Trans_0012,Manuf_0005,1
83,Trans_0012,Manuf_0006,1
84,Trans_0013,Manuf_0001,1
85,Trans_0013,Manuf_0002,1
86,Trans_0013,Manuf_0003,1
87,Trans_0013,Manuf_0004,1
88,Trans_0013,Manuf_0005,1
89,Trans_0013,Manuf_0006,1
90,Trans_0014,Retail_0001,1
91,Trans_0015,Retail_0002,1
92,Trans_0016,Retail_0003,1
93,Trans_0017,Retail_0004,1
94,Trans_0018,Retail_0005,1
95,Trans_0019,Retail_0006,1
96,Trans_0020,Retail_0007,1
97,Trans_0021,Retail_0008,1
98,Trans_0022,Retail_0009,1
99,Trans_0023,Retail_0010,1
100,Trans_0024,Retail_0011,1
101,Trans_0025,Retail_0012,1
102,Trans_0026,Retail_0013,1
103,Trans_0027,Retail_0014,1
104,Trans_0028,Retail_0015,1
105,Trans_0029,Retail_0016,1
106,Trans_0030,Retail_0017,1
107,Trans_0031,Retail_0018,1
