,plnt,prod,ub,pipeline,demand
0,0,Dist_0005,11582.0,34746.0,599.0
1,0,Dist_0019,11582.0,23164.0,535.0
2,1,Dist_0025,11582.0,23164.0,312.0
3,1,Dist_0026,11582.0,46328.0,162.0
4,2,Dist_0001,11582.0,34746.0,125.0
5,2,Dist_0002,11582.0,34746.0,135.0
6,2,Dist_0003,11582.0,49686.78,63.0
7,2,Dist_0004,11582.0,49918.42,61.0
8,2,Dist_0006,11582.0,46328.0,1017.0
9,2,Dist_0007,11582.0,68102.16,429.0
10,2,Dist_0008,11582.0,23164.0,476.0
11,2,Dist_0009,11582.0,53161.38,291.0
12,2,Dist_0010,11582.0,34746.0,554.0
13,2,Dist_0011,11582.0,59763.12,410.0
14,2,Dist_0012,11582.0,23164.0,775.0
15,2,Dist_0013,11582.0,46328.0,271.0
16,2,Dist_0014,11582.0,34746.0,868.0
17,2,Dist_0015,11582.0,34746.0,710.0
18,2,Dist_0016,11582.0,41347.74,215.0
19,2,Dist_0017,11582.0,23164.0,728.0
20,2,Dist_0018,11582.0,46328.0,484.0
21,2,Dist_0020,11582.0,52582.28,349.0
22,2,Dist_0021,11582.0,52234.82,355.0
23,2,Dist_0022,11582.0,34746.0,870.0
24,2,Dist_0023,11582.0,34746.0,463.0
25,2,Dist_0024,11582.0,34746.0,325.0
26,3,Manuf_0002,11582.0,11582.0,
27,3,Manuf_0003,11582.0,23164.0,
28,4,Manuf_0003,11582.0,23164.0,
29,4,Manuf_0004,11582.0,11582.0,
30,5,Manuf_0003,11582.0,23164.0,
31,5,Manuf_0004,11582.0,11582.0,
32,6,Part_0010,11582.0,254804.0,
33,6,Part_0012,11582.0,277968.0,
34,7,Part_0009,11582.0,304954.06,
35,7,Part_0016,11582.0,277968.0,
36,8,Part_0011,11582.0,324296.0,
37,8,Part_0013,11582.0,208476.0,
38,8,Part_0014,11582.0,220058.0,
39,8,Part_0015,11582.0,243222.0,
40,8,Trans_0001,11582.0,23164.0,
41,8,Trans_0002,11582.0,23164.0,
42,8,Trans_0003,11582.0,23164.0,
43,9,Manuf_0001,11582.0,23164.0,
44,9,Part_0008,11582.0,434325.0,
45,10,Part_0007,11582.0,434325.0,
46,10,Part_0008,11582.0,434325.0,
47,11,Manuf_0001,11582.0,23164.0,
48,11,Part_0007,11582.0,434325.0,
49,12,Part_0001,11582.0,312714.0,
50,12,Part_0005,11582.0,289550.0,
51,13,Part_0001,11582.0,312714.0,
52,13,Part_0003,11582.0,301132.0,
53,14,Part_0001,11582.0,312714.0,
54,14,Part_0002,11582.0,301132.0,
55,14,Part_0004,11582.0,266386.0,
56,14,Part_0006,11582.0,277968.0,
