,name,ub
0,0,100000.03000000001
1,1,100000.03000000001
2,2,100000.03000000001
3,3,100000.03000000001
4,4,100000.03000000001
5,5,100000.03000000001
6,6,100000.03000000001
7,7,100000.03000000001
8,8,100000.03000000001
9,9,100000.03000000001
10,10,100000.03000000001
11,11,100000.03000000001
12,12,100000.03000000001
13,13,100000.03000000001
14,14,100000.03000000001
15,15,100000.03000000001
16,16,100000.03000000001
17,17,100000.03000000001
18,18,100000.03000000001
19,19,100000.03000000001
20,20,100000.03000000001
21,21,100000.03000000001
22,22,100000.03000000001
23,23,100000.03000000001
24,24,100000.03000000001
25,25,100000.03000000001
26,26,100000.03000000001
