,name,lat,lon,weight
0,札幌市,43.06417,141.34694,9632.389999999998
1,青森市,40.82444,140.74,8607.569999999998
2,盛岡市,39.70361,141.1525,9614.31
3,仙台市,38.26889,140.87194,11050.32
4,秋田市,39.71861,140.1025,2280.2700000000004
5,山形市,38.24056,140.36333,4997.72
6,福島市,37.75,140.46778,22636.02
7,水戸市,36.34139,140.44666999999998,6639.2199999999975
8,宇都宮市,36.56583,139.88361,3503.5600000000004
9,前橋市,36.39111,139.06083,2260.24
10,さいたま市,35.85694,139.64889,13106.95
11,千葉市,35.60472,140.12333,8995.61
12,新宿区,35.68944000000001,139.69167,2495.8100000000004
13,横浜市,35.44778,139.6425,19278.820000000003
14,新潟市,37.90222,139.02361000000002,2137.88
15,富山市,36.69528,137.21139,17839.840000000004
16,金沢市,36.59444000000001,136.62556,3514.6000000000013
17,福井市,36.06528,136.22194,2058.6
18,甲府市,35.66389,138.56833,2213.03
19,長野市,36.65139,138.18111000000002,7302.019999999998
20,岐阜市,35.39111,136.72222,20958.39
21,静岡市,34.97694,138.38306,2809.720000000001
22,名古屋市,35.18028,136.90667,2460.78
23,津市,34.73028,136.50861,25029.52
24,大津市,35.00444,135.86833,2438.6500000000005
25,京都市,35.021390000000004,135.75556,17168.04
26,大阪市,34.68639,135.52,20450.03
27,神戸市,34.69139000000001,135.18306,9801.83
28,奈良市,34.68528,135.83278,7268.92
29,和歌山市,34.22611,135.1675,28578.33
30,鳥取市,35.50360999999999,134.23833,2177.01
31,松江市,35.47222,133.05056000000002,5770.79
32,岡山市,34.66167,133.935,12525.28
33,広島市,34.396390000000004,132.45944,4077.1700000000014
34,山口市,34.18583,131.47139,2711.44
35,徳島市,34.06583,134.55944,2514.9000000000005
36,高松市,34.34028,134.04333,3967.85
37,松山市,33.84167,132.76611,4254.619999999999
38,高知市,33.55972,133.53111,2870.8300000000013
39,福岡市,33.606390000000005,130.41806,8943.51
40,佐賀市,33.24944,130.29889,61964.78
41,長崎市,32.74472,129.87361,2275.18
42,熊本市,32.78972,130.74167,59707.56999999999
43,大分市,33.23806,131.6125,8363.929999999997
44,宮崎市,31.91111,131.42389,2915.01
45,鹿児島市,31.56028,130.55806,8726.859999999999
46,那覇市,26.2125,127.68111,3011.280000000001
