customer_id,customer_name,lat,lon,demand,customer_type,region,priority
CUST_001,Customer_1,35.572867,139.778243,82,retail,Region_A,High
CUST_002,Customer_2,35.736975,139.566692,259,retail,Region_B,Low
CUST_003,Customer_3,35.684278,139.632851,127,retail,Region_C,Medium
CUST_004,Customer_4,35.665653,139.699296,95,retail,Region_D,Medium
CUST_005,Customer_5,35.615376,139.671509,1556,retail,Region_E,Medium
CUST_006,Customer_6,35.681667,139.662639,275,industrial,Region_A,Low
CUST_007,Customer_7,35.671302,139.667176,88,retail,Region_B,High
CUST_008,Customer_8,35.708157,139.625098,176,retail,Region_C,Medium
CUST_009,Customer_9,35.644806,139.63862,239,industrial,Region_D,High
CUST_010,Customer_10,35.677747,139.655695,406,retail,Region_E,Medium
CUST_011,Customer_11,35.692376,139.613387,81,wholesale,Region_A,High
CUST_012,Customer_12,35.738016,139.644016,223,retail,Region_B,Low
CUST_013,Customer_13,35.645311,139.513478,170,retail,Region_C,Low
CUST_014,Customer_14,35.665458,139.637357,121,retail,Region_D,Medium
CUST_015,Customer_15,35.662373,139.51819,87,wholesale,Region_E,Medium
CUST_016,Customer_1,34.590367,135.628706,82,retail,Region_A,High
CUST_017,Customer_2,34.754475,135.419697,259,retail,Region_B,Low
CUST_018,Customer_3,34.701778,135.485061,127,retail,Region_C,Medium
CUST_019,Customer_4,34.683153,135.550707,95,retail,Region_D,Medium
CUST_020,Customer_5,34.632876,135.523254,1556,retail,Region_E,Medium
CUST_021,Customer_6,34.699167,135.514491,275,industrial,Region_A,Low
CUST_022,Customer_7,34.688802,135.518973,88,retail,Region_B,High
CUST_023,Customer_8,34.725657,135.477401,176,retail,Region_C,Medium
CUST_024,Customer_9,34.662306,135.49076,239,industrial,Region_D,High
CUST_025,Customer_10,34.695247,135.507631,406,retail,Region_E,Medium
CUST_026,Customer_11,34.709876,135.465831,81,wholesale,Region_A,High
CUST_027,Customer_12,34.755516,135.496091,223,retail,Region_B,Low
CUST_028,Customer_13,34.662811,135.367122,170,retail,Region_C,Low
CUST_029,Customer_14,34.682958,135.489512,121,retail,Region_D,Medium
CUST_030,Customer_15,34.679873,135.371778,87,wholesale,Region_E,Medium
CUST_031,Customer_1,35.104001,137.00197,82,retail,Region_A,High
CUST_032,Customer_2,35.227081,136.844278,259,retail,Region_B,Low
CUST_033,Customer_3,35.187558,136.893594,127,retail,Region_C,Medium
CUST_034,Customer_4,35.173589,136.943122,95,retail,Region_D,Medium
CUST_035,Customer_5,35.135882,136.922409,1556,retail,Region_E,Medium
CUST_036,Customer_6,35.185601,136.915798,275,industrial,Region_A,Low
CUST_037,Customer_7,35.177827,136.919179,88,retail,Region_B,High
CUST_038,Customer_8,35.205468,136.887814,176,retail,Region_C,Medium
CUST_039,Customer_9,35.157954,136.897894,239,industrial,Region_D,High
CUST_040,Customer_10,35.182661,136.910622,406,retail,Region_E,Medium
