customer_id,customer_name,lat,lon,demand,customer_type,region,priority
CUST_001,Customer_1,35.417869,139.970158,82,retail,Region_A,High
CUST_002,Customer_2,35.828137,139.44128,259,retail,Region_B,Low
CUST_003,Customer_3,35.696395,139.606679,127,retail,Region_C,Medium
CUST_004,Customer_4,35.649831,139.772791,95,retail,Region_D,Medium
CUST_005,Customer_5,35.52414,139.703322,1556,retail,Region_E,Medium
CUST_006,Customer_6,35.689869,139.681148,275,industrial,Region_A,Low
CUST_007,Customer_7,35.663955,139.692489,88,retail,Region_B,High
CUST_008,Customer_8,35.756093,139.587294,176,retail,Region_C,Medium
CUST_009,Customer_9,35.597714,139.6211,239,industrial,Region_D,High
CUST_010,Customer_10,35.680069,139.663789,406,retail,Region_E,Medium
CUST_011,Customer_11,35.716641,139.558017,81,wholesale,Region_A,High
CUST_012,Customer_12,35.830741,139.63459,223,retail,Region_B,Low
CUST_013,Customer_13,35.598979,139.308245,170,retail,Region_C,Low
CUST_014,Customer_14,35.649346,139.617942,121,retail,Region_D,Medium
CUST_015,Customer_15,35.641632,139.320026,87,wholesale,Region_E,Medium
CUST_016,Customer_16,35.450028,139.537471,189,retail,Region_A,Medium
CUST_017,Customer_17,35.684706,139.651987,64,retail,Region_B,Low
CUST_018,Customer_18,35.676915,139.848103,462,retail,Region_C,High
CUST_019,Customer_19,35.658892,139.733826,299,wholesale,Region_D,Low
CUST_020,Customer_20,35.790786,139.985297,507,wholesale,Region_E,Low
CUST_021,Customer_21,35.666392,139.676816,556,wholesale,Region_A,High
CUST_022,Customer_22,35.58779,139.642939,159,retail,Region_B,Medium
CUST_023,Customer_23,35.774388,139.604981,94,industrial,Region_C,Low
CUST_024,Customer_24,35.674824,139.801537,617,retail,Region_D,High
CUST_025,Customer_25,35.636525,139.61012,294,retail,Region_E,High
CUST_026,Customer_26,35.458242,139.668107,163,wholesale,Region_A,Medium
CUST_027,Customer_27,35.691637,139.894453,618,retail,Region_B,High
CUST_028,Customer_28,35.708068,139.584251,611,retail,Region_C,Medium
CUST_029,Customer_29,35.67385,139.644388,337,retail,Region_D,Medium
CUST_030,Customer_30,35.557705,139.776103,75,retail,Region_E,High
CUST_031,Customer_31,35.854861,139.537702,462,retail,Region_A,Medium
CUST_032,Customer_32,35.678233,139.699138,306,industrial,Region_B,Medium
CUST_033,Customer_33,35.605077,139.790142,329,retail,Region_C,High
CUST_034,Customer_34,35.697253,139.631108,531,retail,Region_D,Medium
CUST_035,Customer_35,35.729831,139.6524,465,retail,Region_E,Medium
CUST_036,Customer_36,35.686335,139.8057,579,wholesale,Region_A,Low
CUST_037,Customer_37,35.63323,139.569647,67,retail,Region_B,Low
CUST_038,Customer_38,35.426319,139.894852,108,wholesale,Region_C,Medium
CUST_039,Customer_39,35.589394,139.594231,92,retail,Region_D,Medium
CUST_040,Customer_40,35.859136,140.107159,438,industrial,Region_E,Medium
CUST_041,Customer_41,35.948538,139.682962,139,retail,Region_A,Low
CUST_042,Customer_42,35.652945,139.714323,373,industrial,Region_B,Medium
CUST_043,Customer_43,35.645145,139.632292,468,wholesale,Region_C,Medium
CUST_044,Customer_44,35.650392,139.547065,209,wholesale,Region_D,Low
CUST_045,Customer_45,35.87359,139.381808,634,wholesale,Region_E,Medium
CUST_046,Customer_46,35.74234,139.375172,202,retail,Region_A,High
CUST_047,Customer_47,35.666462,139.643877,48,retail,Region_B,High
CUST_048,Customer_48,35.892488,139.713954,267,retail,Region_C,Medium
CUST_049,Customer_49,35.685813,139.556591,1358,wholesale,Region_D,Medium
CUST_050,Customer_50,35.806848,139.625709,877,wholesale,Region_E,Medium
