customer_id,name,lat,lon,demand,region,city
C001,Customer 1,35.845972,139.732897,92.9,Zone_1,Tokyo
C002,Customer 2,35.617741,139.547906,143.7,Zone_1,Tokyo
C003,Customer 3,35.711706,139.712271,101.1,Zone_1,Tokyo
C004,Customer 4,35.674645,139.575693,101.0,Zone_1,Tokyo
C005,Customer 5,35.655995,139.550477,89.8,Zone_1,Tokyo
C006,Customer 6,35.799645,139.756161,36.8,Zone_1,Tokyo
C007,Customer 7,35.791502,139.535431,105.5,Zone_1,Tokyo
C008,Customer 8,35.708598,139.723079,54.4,Zone_1,Tokyo
C009,Customer 9,35.692125,139.602283,34.0,Zone_1,Tokyo
C010,Customer 10,35.727973,139.660388,116.3,Zone_1,Tokyo
C011,Customer 11,35.803081,139.551275,98.7,Zone_1,Tokyo
C012,Customer 12,35.731148,139.655978,87.9,Zone_1,Tokyo
C013,Customer 13,35.698679,139.600484,40.7,Zone_1,Tokyo
C014,Customer 14,35.746999,139.613138,33.5,Zone_1,Tokyo
C015,Customer 15,35.629051,139.718268,47.7,Zone_1,Tokyo
C016,Customer 16,35.752361,139.766504,161.6,Zone_1,Tokyo
C017,Customer 17,35.741229,139.70067,72.3,Zone_1,Tokyo
C018,Customer 18,35.720339,139.59349,151.0,Zone_1,Tokyo
C019,Customer 19,35.674528,139.659686,85.8,Zone_1,Tokyo
C020,Customer 20,35.622664,139.743255,169.6,Zone_1,Tokyo
C021,Customer 21,35.658786,139.738202,142.6,Zone_1,Tokyo
C022,Customer 22,35.643567,139.67123,165.4,Zone_1,Tokyo
C023,Customer 23,35.780638,139.65198,78.0,Zone_1,Tokyo
C024,Customer 24,35.657062,139.718618,31.6,Zone_1,Tokyo
C025,Customer 25,35.702133,139.639889,172.6,Zone_1,Tokyo
C026,Customer 26,34.846685,135.587518,97.3,Zone_2,Osaka
C027,Customer 27,34.613219,135.405165,130.9,Zone_2,Osaka
C028,Customer 28,34.755354,135.555664,148.4,Zone_2,Osaka
C029,Customer 29,34.69272,135.43052,38.6,Zone_2,Osaka
C030,Customer 30,34.526499,135.643935,163.2,Zone_2,Osaka
C031,Customer 31,34.62766,135.476589,51.4,Zone_2,Osaka
C032,Customer 32,34.742807,135.61093,45.2,Zone_2,Osaka
C033,Customer 33,34.713297,135.461745,40.9,Zone_2,Osaka
C034,Customer 34,34.738429,135.572103,42.2,Zone_2,Osaka
C035,Customer 35,34.577853,135.389703,151.9,Zone_2,Osaka
C036,Customer 36,34.640562,135.611109,42.5,Zone_2,Osaka
C037,Customer 37,34.718573,135.620328,93.6,Zone_2,Osaka
C038,Customer 38,34.669514,135.501935,100.3,Zone_2,Osaka
C039,Customer 39,34.719517,135.436122,141.9,Zone_2,Osaka
C040,Customer 40,34.733115,135.50941,86.2,Zone_2,Osaka
C041,Customer 41,34.748912,135.470202,63.5,Zone_2,Osaka
C042,Customer 42,34.699272,135.58098,178.9,Zone_2,Osaka
C043,Customer 43,34.701514,135.440459,175.4,Zone_2,Osaka
C044,Customer 44,34.875761,135.534798,134.4,Zone_2,Osaka
C045,Customer 45,34.865955,135.440912,117.6,Zone_2,Osaka
C046,Customer 46,34.684825,135.580405,123.0,Zone_2,Osaka
C047,Customer 47,34.626522,135.454349,99.6,Zone_2,Osaka
C048,Customer 48,34.776308,135.357489,41.7,Zone_2,Osaka
C049,Customer 49,34.72104,135.652394,76.4,Zone_2,Osaka
C050,Customer 50,34.739408,135.579942,54.4,Zone_2,Osaka
