customer_id,name,lat,lon,demand,region,city
C001,Customer 1,35.596986,139.760188,151.9,Area_1,Tokyo
C002,Customer 2,35.671783,139.633367,137.3,Area_1,Tokyo
C003,Customer 3,35.573412,139.731532,156.4,Area_1,Tokyo
C004,Customer 4,35.692738,139.667023,96.2,Area_1,Tokyo
C005,Customer 5,35.580534,139.614337,46.8,Area_1,Tokyo
C006,Customer 6,35.691763,139.668441,160.0,Area_1,Tokyo
C007,Customer 7,35.676515,139.653119,132.3,Area_1,Tokyo
C008,Customer 8,35.657419,139.554353,55.5,Area_1,Tokyo
C009,Customer 9,35.683418,139.681166,67.4,Area_1,Tokyo
C010,Customer 10,35.739827,139.742782,83.0,Area_1,Tokyo
C011,Customer 11,35.696139,139.605391,102.4,Area_1,Tokyo
C012,Customer 12,35.683092,139.743376,142.3,Area_1,Tokyo
C013,Customer 13,35.799845,139.75562,145.2,Area_1,Tokyo
C014,Customer 14,35.614977,139.634154,43.5,Area_1,Tokyo
C015,Customer 15,35.714923,139.732418,124.5,Area_1,Tokyo
C016,Customer 16,34.667681,135.481761,41.7,Area_2,Osaka
C017,Customer 17,34.757205,135.396776,87.1,Area_2,Osaka
C018,Customer 18,34.746864,135.494075,81.8,Area_2,Osaka
C019,Customer 19,34.783841,135.506746,87.6,Area_2,Osaka
C020,Customer 20,34.752593,135.522142,153.9,Area_2,Osaka
C021,Customer 21,34.591497,135.498967,95.1,Area_2,Osaka
C022,Customer 22,34.693328,135.526487,79.5,Area_2,Osaka
C023,Customer 23,34.615432,135.54248,49.1,Area_2,Osaka
C024,Customer 24,34.627625,135.53156,81.5,Area_2,Osaka
C025,Customer 25,34.689939,135.559609,120.1,Area_2,Osaka
C026,Customer 26,34.666899,135.47376,44.9,Area_2,Osaka
C027,Customer 27,34.661885,135.454728,61.2,Area_2,Osaka
C028,Customer 28,34.607655,135.490808,83.7,Area_2,Osaka
C029,Customer 29,34.811584,135.504416,44.7,Area_2,Osaka
C030,Customer 30,34.724575,135.574578,49.8,Area_2,Osaka
C031,Customer 31,35.17476,136.893342,136.7,Area_3,Nagoya
C032,Customer 32,35.137315,136.94137,65.1,Area_3,Nagoya
C033,Customer 33,35.164997,136.768485,114.2,Area_3,Nagoya
C034,Customer 34,35.143909,136.775072,129.7,Area_3,Nagoya
C035,Customer 35,35.216093,136.925275,101.4,Area_3,Nagoya
C036,Customer 36,35.123164,136.911369,93.7,Area_3,Nagoya
C037,Customer 37,35.085113,136.918808,72.3,Area_3,Nagoya
C038,Customer 38,35.170286,136.903733,78.6,Area_3,Nagoya
C039,Customer 39,35.142706,136.841707,54.4,Area_3,Nagoya
C040,Customer 40,35.194593,136.961234,121.5,Area_3,Nagoya
C041,Customer 41,35.181022,136.995397,50.4,Area_3,Nagoya
C042,Customer 42,35.32396,136.967472,129.5,Area_3,Nagoya
C043,Customer 43,35.119265,136.89518,74.1,Area_3,Nagoya
C044,Customer 44,35.265244,136.828021,108.5,Area_3,Nagoya
C045,Customer 45,35.097586,136.940378,52.2,Area_3,Nagoya
C046,Customer 46,33.562913,130.36414,59.3,Area_4,Fukuoka
C047,Customer 47,33.554856,130.349861,60.8,Area_4,Fukuoka
C048,Customer 48,33.440234,130.442779,157.9,Area_4,Fukuoka
C049,Customer 49,33.576063,130.347246,156.3,Area_4,Fukuoka
C050,Customer 50,33.604639,130.418115,70.9,Area_4,Fukuoka
C051,Customer 51,33.620455,130.343047,151.5,Area_4,Fukuoka
C052,Customer 52,33.712999,130.498877,73.6,Area_4,Fukuoka
C053,Customer 53,33.550643,130.435936,78.8,Area_4,Fukuoka
C054,Customer 54,33.607185,130.237243,69.1,Area_4,Fukuoka
C055,Customer 55,33.605983,130.347441,74.6,Area_4,Fukuoka
C056,Customer 56,33.522051,130.417765,97.7,Area_4,Fukuoka
C057,Customer 57,33.55129,130.404544,80.4,Area_4,Fukuoka
C058,Customer 58,33.554282,130.447315,121.8,Area_4,Fukuoka
C059,Customer 59,33.622188,130.488194,96.6,Area_4,Fukuoka
C060,Customer 60,33.484185,130.339742,151.5,Area_4,Fukuoka
C061,Customer 61,43.086469,141.310661,152.6,Area_5,Sapporo
C062,Customer 62,43.093483,141.441708,141.0,Area_5,Sapporo
C063,Customer 63,43.084456,141.322187,64.2,Area_5,Sapporo
C064,Customer 64,43.045091,141.327757,137.7,Area_5,Sapporo
C065,Customer 65,43.081586,141.471424,83.1,Area_5,Sapporo
C066,Customer 66,43.047988,141.403757,138.0,Area_5,Sapporo
C067,Customer 67,42.941913,141.286415,95.5,Area_5,Sapporo
C068,Customer 68,43.127296,141.296287,100.3,Area_5,Sapporo
C069,Customer 69,43.083816,141.333754,86.1,Area_5,Sapporo
C070,Customer 70,43.117745,141.352637,114.9,Area_5,Sapporo
C071,Customer 71,42.975485,141.415525,56.7,Area_5,Sapporo
C072,Customer 72,43.094763,141.42174,104.0,Area_5,Sapporo
C073,Customer 73,43.075112,141.361793,58.2,Area_5,Sapporo
C074,Customer 74,42.998717,141.29788,129.3,Area_5,Sapporo
C075,Customer 75,43.068494,141.318241,131.5,Area_5,Sapporo
