,from_node,to_node,dist,time,cost,lead_time,stage_time,kind
0,Odawara,cust0,356.6597,4.6018888888888885,2.1974152555555553,2,1,plnt-dc
1,Odawara,cust1,1069.4851999999998,13.280527777777777,6.381696311111111,3,1,plnt-dc
2,Odawara,cust2,595.6699,7.499277777777778,3.5953810111111113,2,1,plnt-dc
3,Odawara,cust3,109.9118,1.5355833333333335,0.7241451333333334,2,1,plnt-dc
4,Odawara,cust4,1358.5621999999998,18.034944444444445,8.572539977777778,3,1,plnt-dc
5,Odawara,cust5,354.69829999999996,4.323166666666666,2.0839649666666666,2,1,plnt-dc
6,Odawara,cust6,591.4440999999999,7.716666666666667,3.678110766666667,2,1,plnt-dc
7,Odawara,cust7,653.0276,8.363166666666666,3.998294266666667,2,1,plnt-dc
8,Odawara,cust8,392.6961,4.853083333333333,2.333929433333333,2,1,plnt-dc
9,Odawara,cust9,528.6415,6.650833333333333,3.1889748333333334,2,1,plnt-dc
10,Odawara,cust10,1290.7104,17.623833333333334,8.340243733333335,3,1,plnt-dc
11,Odawara,cust11,52.860099999999996,0.8329722222222222,0.38604898888888894,2,1,plnt-dc
12,Odawara,cust12,209.3262,2.8379999999999996,1.3445262,2,1,plnt-dc
13,Odawara,cust13,1197.4864,14.695916666666667,7.075853066666667,3,1,plnt-dc
14,Odawara,cust14,432.45759999999996,5.5825555555555555,2.6654798222222222,2,1,plnt-dc
15,Odawara,cust15,531.1615,6.417194444444445,3.098039277777778,2,1,plnt-dc
16,Odawara,cust16,279.0951,3.4432500000000004,1.6563951000000001,2,1,plnt-dc
17,Odawara,cust17,1284.974,16.16177777777778,7.749685111111112,3,1,plnt-dc
18,Odawara,cust18,275.9687,3.9164444444444446,1.8425464777777778,2,1,plnt-dc
19,Odawara,cust19,977.8991,13.374277777777777,6.327610211111112,3,1,plnt-dc
20,Odawara,cust20,733.7863000000001,9.29061111111111,4.450030744444444,2,1,plnt-dc
21,Odawara,cust21,220.16410000000002,3.086333333333333,1.4546974333333333,2,1,plnt-dc
